Threads,Schedule,Sequential_Time_ms,Parallel_Time_ms,Speedup,Efficiency,Validation
1,Static,1187.1,1060.1,1.1198,1.1198,OK
1,Dynamic,1187.1,1528.8,0.776491,0.776491,OK
2,Static,1187.1,615.7,1.92805,0.964025,OK
2,Dynamic,1187.1,903.3,1.31418,0.657091,OK
4,Static,1187.1,401.5,2.95666,0.739166,OK
4,Dynamic,1187.1,609.5,1.94766,0.486915,OK
8,Static,1187.1,163.8,7.24725,0.905907,OK
8,Dynamic,1187.1,276.8,4.28866,0.536082,OK
16,Static,1187.1,171.4,6.9259,0.432869,OK
16,Dynamic,1187.1,304,3.90493,0.244058,OK
32,Static,1187.1,176.1,6.74105,0.210658,OK
32,Dynamic,1187.1,294.3,4.03364,0.126051,OK
